Date,0,1,2,3,4,Total
02/17/2016,12,7,15,14,,48
02/18/2016,13,10,12,13,,48
02/19/2016,20,14,12,15,1,62
02/20/2016,27,5,19,32,,83
02/21/2016,10,7,12,18,,47
02/22/2016,8,5,16,20,,49
02/23/2016,13,11,18,18,,60
02/24/2016,13,8,8,18,,47
02/25/2016,14,12,15,17,,58
02/26/2016,15,7,17,15,,54
02/27/2016,11,14,18,23,,66
02/28/2016,21,9,12,20,,62
03/01/2016,14,8,16,22,,60
03/02/2016,17,11,12,21,,61
03/03/2016,12,8,12,15,,47
03/04/2016,16,7,24,18,,65
03/05/2016,18,7,17,19,,61
03/06/2016,21,8,18,27,,74
03/07/2016,9,11,12,20,,52
03/08/2016,13,11,8,13,1,46
03/09/2016,10,10,13,19,,52
03/10/2016,12,9,14,10,1,46
03/11/2016,9,6,12,14,,41
03/12/2016,14,12,22,23,,71
03/13/2016,25,14,11,29,1,80
03/14/2016,14,8,21,17,,60
03/15/2016,12,14,16,17,,59
03/16/2016,10,11,8,12,,41
03/17/2016,20,9,18,18,,65
03/18/2016,14,14,19,17,1,65
03/19/2016,12,15,16,30,,73
03/20/2016,10,11,16,17,,54
03/21/2016,16,10,14,13,,53
03/22/2016,15,10,22,16,,63
03/23/2016,12,16,11,9,,48
03/24/2016,7,11,17,14,,49
03/25/2016,9,8,20,11,,48
03/26/2016,12,10,18,23,,63
03/27/2016,16,4,17,18,,55
03/28/2016,10,16,19,5,1,51
03/29/2016,13,2,16,15,,46
03/30/2016,9,12,8,10,1,40
03/31/2016,13,8,18,20,,59
04/01/2016,14,13,19,12,,58
04/02/2016,14,8,16,20,,58
04/03/2016,22,7,11,14,1,55
04/04/2016,16,15,19,13,,63
04/05/2016,13,11,13,15,,52
04/06/2016,12,6,11,15,,44
04/07/2016,16,9,8,12,,45
04/08/2016,14,8,13,11,1,47
04/09/2016,16,11,14,20,,61
04/10/2016,14,14,13,24,,65
04/11/2016,14,10,18,21,,63
04/12/2016,22,18,16,31,,87
04/13/2016,25,11,24,27,1,88
04/14/2016,18,16,23,23,,80
04/15/2016,16,14,19,39,,88
04/16/2016,19,6,19,23,,67
04/17/2016,9,5,16,19,,49
04/18/2016,16,12,14,14,,56
04/19/2016,14,12,18,15,,59
04/20/2016,15,7,12,13,,47
04/21/2016,3,4,12,10,,29
04/22/2016,16,5,11,12,,44
04/23/2016,12,5,7,17,,41
04/24/2016,15,12,11,11,,49
04/25/2016,19,7,14,7,,47
04/26/2016,11,9,13,21,,54
04/27/2016,13,10,14,15,,52
04/28/2016,14,10,7,15,,46
04/29/2016,11,7,11,13,,42
04/30/2016,17,10,25,14,1,67
05/01/2016,13,5,8,16,,42
05/02/2016,5,10,7,13,,35
05/03/2016,16,10,17,10,,53
05/04/2016,11,5,11,11,,38
05/05/2016,14,12,7,11,,44
05/06/2016,15,10,17,10,,52
05/07/2016,11,10,16,19,,56
05/08/2016,7,12,10,21,,50
05/09/2016,7,10,11,11,,39
05/10/2016,8,10,9,11,,38
05/11/2016,9,5,19,12,,45
05/12/2016,8,15,11,17,,51
05/13/2016,12,4,22,10,,48
05/14/2016,17,13,18,17,,65
05/15/2016,7,11,15,13,,46
05/16/2016,18,11,17,14,,60
05/17/2016,18,6,8,13,,45
05/18/2016,18,8,13,14,,53
05/19/2016,16,7,9,8,,40
05/20/2016,10,9,10,12,,41
05/21/2016,8,10,11,14,1,44
05/22/2016,18,5,16,14,,53
05/23/2016,7,7,16,10,,40
05/24/2016,9,6,11,16,,42
05/25/2016,6,8,9,9,,32
05/26/2016,14,11,15,10,,50
05/27/2016,13,8,13,9,,43
05/28/2016,11,7,16,26,,60
05/29/2016,8,9,11,16,,44
05/30/2016,23,6,6,18,,53
05/31/2016,13,10,14,10,,47
06/01/2016,9,4,17,13,,43
06/02/2016,17,12,12,15,,56
06/03/2016,12,13,15,19,1,60
06/04/2016,10,11,15,25,,61
06/05/2016,14,3,12,12,,41
06/06/2016,6,8,15,17,,46
06/07/2016,11,12,14,14,,51
06/08/2016,14,7,15,18,,54
06/09/2016,11,8,10,17,,46
06/10/2016,17,17,17,18,,69
06/11/2016,9,10,13,15,,47
06/12/2016,12,7,11,13,,43
06/13/2016,10,9,17,15,,51
06/14/2016,9,6,15,10,,40
06/15/2016,6,10,14,10,,40
06/16/2016,16,7,11,9,,43
06/17/2016,8,13,12,15,,48
06/18/2016,10,10,15,18,,53
06/19/2016,20,10,6,16,,52
06/20/2016,14,9,16,16,1,56
06/21/2016,7,9,15,13,1,45
06/22/2016,9,15,19,14,,57
06/23/2016,12,14,9,15,,50
06/24/2016,16,13,12,11,,52
06/25/2016,8,12,11,23,,54
06/26/2016,12,4,11,19,,46
06/27/2016,14,9,12,10,,45
06/28/2016,4,6,10,11,,31
06/29/2016,11,2,14,12,,39
06/30/2016,11,10,18,22,,61
07/01/2016,12,12,14,15,,53
07/02/2016,18,10,12,25,,65
07/03/2016,4,6,13,20,,43
07/04/2016,15,13,14,13,,55
07/05/2016,7,7,11,9,,34
07/06/2016,10,3,10,18,,41
07/07/2016,11,8,11,15,,45
07/08/2016,9,10,25,23,,67
07/09/2016,8,10,13,16,,47
07/10/2016,7,4,20,22,,53
07/11/2016,6,9,14,9,,38
07/12/2016,11,6,8,15,,40
07/13/2016,7,8,7,12,,34
07/14/2016,17,14,19,15,,65
07/15/2016,15,6,20,8,,49
07/16/2016,10,5,13,18,,46
07/17/2016,17,11,15,22,,65
07/18/2016,12,8,20,21,,61
07/19/2016,13,11,10,11,,45
07/20/2016,12,7,12,10,,41
07/21/2016,5,7,8,9,,29
07/22/2016,12,17,15,15,,59
07/23/2016,13,8,15,20,,56
07/24/2016,11,7,11,19,,48
07/25/2016,17,9,7,13,,46
07/26/2016,15,8,10,13,,46
07/27/2016,11,8,9,13,,41
07/28/2016,12,10,7,11,,40
07/29/2016,7,8,5,19,,39
